IBIS ID,OPEN DATA ID,CITY,STOP NAME,
IOV40301,167060,M�hlberg (Kreis Gotha),,
IOV40302,167060,M�hlberg (Kreis Gotha),,
IOV404,2600004,Ilmenau, Wetzlarer Platz,
IOV40401,2700362,R�hrensee, Hauptstra�e,
IOV40402,2700362,R�hrensee, Hauptstra�e,
IOV40501,2700358,S�lzenbr�cken (Bushaltestelle),,
IOV40601,2700356,Haarhausen (Bushaltestelle),,
IOV40701,2700360,R�hrensee,,
IOV40801,2700354,Holzhausen (b. Arnstadt),,
IOV40802,2700354,Holzhausen (b. Arnstadt),,
IOV40901,2700352,Holzhausen (b. Arnstadt), Schule,
IOV41001,2700350,Bittst�dt,,
IOV4101,2600041,Ilmenau, Vogelherd,
IOV4102,2600041,Ilmenau, Vogelherd,
IOV4103,2600041,Ilmenau, Vogelherd,
IOV41101,2700030,Arnstadt, Ohrdrufer Stra�e,
IOV41102,2700030,Arnstadt, Ohrdrufer Stra�e,
IOV41201,2700040,Arnstadt, Kohlenmarkt,
IOV41301,2700336,Rockhausen,,
IOV41401,2700338,Bechstedt Wagd,,
IOV41501,2700318,Elxleben (b. Arnstadt), Anger,
IOV41502,2700318,Elxleben (b. Arnstadt), Anger,
IOV41601,2700316,Elxleben (b. Arnstadt), Park,
IOV41602,2700316,Elxleben (b. Arnstadt), Park,
IOV41701,2700340,Werningsleben Kreuzung,,
IOV41702,2700340,Werningsleben Kreuzung,,
IOV41801,170110,Riechheim,,
IOV41901,2700300,G�gleben,,
IOV41902,2700300,G�gleben,,
IOV42001,2700298,Werningsleben,,
IOV42002,2700298,Werningsleben,,
IOV4201,2600042,Ilmenau, Friedhof,
IOV4202,2600042,Ilmenau, Friedhof,
IOV42101,2700296,Kirchheim,,
IOV42102,2700296,Kirchheim,,
IOV42201,2700294,Kirchheim, Schule,
IOV42202,2700294,Kirchheim, Schule,
IOV42301,2700295,Rudisleben, Unterm Dorf,
IOV42401,2700292,Rudisleben, Hauptstra�e,
IOV42402,2700292,Rudisleben, Hauptstra�e,
IOV42501,2700291,Rudisleben, Schulplan,
IOV42502,2700291,Rudisleben, Schulplan,
IOV42601,2700290,Rudisleben, Arnst�dter Stra�e,
IOV42602,2700290,Rudisleben, Arnst�dter Stra�e,
IOV42801,170126,Th�rey, Ort,
IOV42901,151042,Erfurt, Schloss Molsdorf,
IOV43001,170351,Ichtershausen, Schwimmbad,
IOV43002,170351,Ichtershausen, Schwimmbad,
IOV4301,2600043,Ilmenau, Erfurter Hof,
IOV4302,2600043,Ilmenau, Erfurter Hof,
IOV43101,170268,Ichtershausen, Schule,
IOV43201,170075,Ichtershausen, Friedensallee,
IOV43202,170075,Ichtershausen, Friedensallee,
IOV43301,15110900,Erfurt, Am Waldkasino,
IOV43401,15100800,Erfurt, Thomaseck,
IOV43402,15100800,Erfurt, Thomaseck,
IOV43501,15135100,Erfurt, Rosengasse,
IOV43502,15135100,Erfurt, Rosengasse,
IOV43601,15105500,Erfurt, Landtag / Stadion Nord,
IOV43602,15105500,Erfurt, Landtag / Stadion Nord,
IOV43701,151033,Erfurt, Martin-Andersen-Nex�-Stra�e,
IOV43801,15102700,Erfurt, Hubertus,
IOV43802,15102700,Erfurt, Hubertus,
IOV43901,170154,Erfurt, H�ffner M�belhaus,
IOV44001,170074,Ichtershausen, BBS,
IOV44002,170074,Ichtershausen, BBS,
IOV4401,2600044,Ilmenau, Roda Erfurter Stra�e,
IOV4402,2600044,Ilmenau, Roda Erfurter Stra�e,
IOV44101,170217,Arnstadt, Kaufland,
IOV44102,170217,Arnstadt, Kaufland,
IOV44201,170357,Arnstadt, Erfurter Kreuz,
IOV44202,170357,Arnstadt, Erfurter Kreuz,
IOV44203,170357,Arnstadt, Erfurter Kreuz,
IOV44204,170357,Arnstadt, Erfurter Kreuz,
IOV44301,170345,Arnstadt, August-Br�mel-Stra�e,
IOV44302,170345,Arnstadt, August-Br�mel-Stra�e,
IOV44401,2700116,Arnstadt, Hellweg,
IOV44402,2700116,Arnstadt, Hellweg,
